,Sport,Medal Rate,Number of Events,# of Games Appeared,Olympians Competed,Height Avg,Weight Avg
0,Basketball,23.809523809523807,2.0,19.0,3413.0,190.86987889719146,85.77705274605763
37,Volleyball,28.46650998824912,2.0,14.0,2503.0,186.99482180932074,78.90021361000916
46,Beach Volleyball,12.76595744680851,2.0,6.0,383.0,186.14495412844036,79.08921933085502
19,Water Polo,27.483099323972958,2.0,27.0,2599.0,184.83464849354377,84.56644640234948
21,Rowing,27.79613025011798,25.0,28.0,7687.0,184.17222222222222,80.03586285138032
15,Handball,28.922237380627557,2.0,13.0,2702.0,183.38459241564647,81.49715142428785
41,Baseball,37.58389261744966,1.0,5.0,761.0,182.59929078014184,85.70779220779221
3,Tug-Of-War,67.64705882352942,1.0,6.0,160.0,182.48,95.61538461538461
22,Bobsleigh,13.01504251144539,4.0,21.0,1694.0,181.4375,89.250678119349
58,Motorboating,41.17647058823529,3.0,1.0,14.0,181.0,77.0
7,Ice Hockey,27.737490935460478,2.0,23.0,3884.0,178.90132292344393,80.8103635967777
31,Tennis,11.87980433263452,9.0,16.0,1246.0,178.898139079334,70.80229083665338
8,Swimming,13.140763095494718,55.0,29.0,8765.0,178.562454308094,70.58849181025313
30,Canoeing,18.87862583049749,27.0,19.0,3206.0,178.53956834532374,76.49261527377521
61,Jeu De Paume,27.27272727272727,1.0,1.0,11.0,178.5,
10,Sailing,18.706346796234435,38.0,26.0,4480.0,178.2621988256732,75.97515400410677
32,Modern Pentathlon,11.091234347048301,3.0,24.0,864.0,177.94431554524363,70.27954004758128
23,Fencing,16.23660922217047,18.0,29.0,4123.0,177.1641769606435,71.3875382262997
27,Taekwondo,23.762376237623762,8.0,5.0,470.0,176.75083612040135,68.00747508305648
18,Luge,12.170385395537526,4.0,14.0,772.0,176.65774240231548,77.26415094339623
40,Nordic Combined,12.276785714285714,5.0,22.0,605.0,176.50446428571428,66.9095595126523
48,Ski Jumping,8.621407746772178,4.0,22.0,874.0,176.4027572624323,65.07901422764228
6,Athletics,10.2759942004971,83.0,29.0,22071.0,176.2562676634151,69.24928683169227
53,Skeleton,15.07537688442211,2.0,6.0,146.0,176.18857142857144,74.16666666666667
28,Cycling,11.630905239893176,44.0,29.0,5819.0,176.1088264794383,70.06794380587485
51,Rugby,100.0,1.0,4.0,155.0,176.09677419354838,77.53333333333333
