,Sport,R2 Weight,R2 Height,Medal Rate,Number of Events,# of Games Appeared,Olympians Competed
65,Aeronautics,0.0,0.0,100.0,1,1,1
63,Alpinism,0.0,0.0,100.0,1,3,25
51,Rugby,0.0,0.0,100.0,1,4,155
54,Lacrosse,0.0,0.0,100.0,1,2,60
56,Cricket,0.0,0.0,100.0,1,1,24
64,Basque Pelota,0.0,0.0,100.0,1,1,2
57,Racquets,0.0,0.0,83.33333333333334,2,1,7
62,Roque,0.0,0.0,75.0,1,1,4
55,Polo,0.0,0.0,70.52631578947368,1,5,87
3,Tug-Of-War,0.0,0.0,67.64705882352942,1,6,160
59,Military Ski Patrol,0.0,0.0,50.0,1,1,24
60,Croquet,0.0,0.0,42.10526315789473,3,1,10
58,Motorboating,0.0,0.0,41.17647058823529,3,1,14
41,Baseball,-0.050781789041664575,-0.01144726724895905,37.58389261744966,1,5,761
35,Softball,0.06728670987053922,0.04786432273078074,37.44769874476987,1,4,367
49,Curling,0.025609289430876026,0.06055216503893174,32.82937365010799,2,6,346
15,Handball,-0.14000524763961567,-0.14830638097391455,28.922237380627557,2,13,2702
37,Volleyball,-0.0968990015806103,-0.15871869018404866,28.46650998824912,2,14,2503
20,Hockey,-0.08799001552044117,,28.20749492338933,2,23,3825
21,Rowing,-0.12527806674300287,,27.79613025011798,25,28,7687
7,Ice Hockey,-0.11036931614041781,,27.737490935460478,2,23,3884
19,Water Polo,-0.07148415647765385,-0.09048446799653387,27.483099323972958,2,27,2599
61,Jeu De Paume,0.0,0.0,27.27272727272727,1,1,11
44,Rugby Sevens,0.0,0.0,24.74916387959866,2,1,299
0,Basketball,-0.015962754906014422,0.012781355070945185,23.809523809523807,2,19,3413
27,Taekwondo,-0.21802586888478825,-0.008028085715920865,23.762376237623762,8,5,470
38,Synchronized Swimming,0.07378641887295834,0.05059740932609323,23.652365236523654,3,9,550
2,Football,0.24788926603619799,,23.29132690882135,2,27,6161
42,Rhythmic Gymnastics,-0.28170305019060965,-0.1534644667104647,20.060790273556233,2,9,567
45,Trampolining,0.08202483862991045,0.07380432785228538,19.736842105263158,2,5,93
30,Canoeing,-0.0856758134306332,-0.04122146317528894,18.87862583049749,27,19,3206
10,Sailing,0.010941006809272322,,18.706346796234435,38,26,4480
34,Golf,0.0,0.0,18.62348178137652,3,3,218
52,Short Track Speed Skating,-0.15769699897214204,-0.09556260237574682,18.513689700130378,8,7,444
17,Wrestling,-0.07796621369362874,,18.115739446463515,30,28,4988
33,Figure Skating,0.03179363668216378,-0.04712125135617367,16.79721496953873,6,24,1572
16,Weightlifting,-0.02141683187471768,,16.408432816865634,21,26,2882
23,Fencing,-0.03541895806336724,-0.05360301110396444,16.23660922217047,18,29,4123
26,Boxing,-0.008820013830519304,,15.611046800066147,15,25,5262
24,Equestrianism,-0.006073230419066665,0.056909011214048906,15.211223203026481,18,25,2345
36,Archery,-0.10595050872899253,-0.08632119928581136,15.124250214224508,29,16,1113
53,Skeleton,-0.022499309859056918,-0.15359459156955754,15.07537688442211,2,6,146
29,Diving,-0.217173574165271,-0.10066486756919267,15.024630541871922,10,27,1466
1,Judo,-0.017911798062966215,,14.390949750065774,15,13,2724
8,Swimming,0.015457335835512086,,13.140763095494718,55,29,8765
22,Bobsleigh,-0.2556825351300091,,13.01504251144539,4,21,1694
46,Beach Volleyball,-0.16447504478916827,-0.06317718389409702,12.76595744680851,2,6,383
40,Nordic Combined,0.07845974957275895,0.025253174142333103,12.276785714285714,5,22,605
18,Luge,-0.005423972626576815,0.09495656158693588,12.170385395537526,4,14,772
31,Tennis,0.040116768334925064,0.019348015992709366,11.87980433263452,9,16,1246
28,Cycling,0.036849462045474575,,11.630905239893176,44,29,5819
9,Badminton,-0.21395831305288637,-0.2402768040557635,11.53054221002059,5,7,811
32,Modern Pentathlon,-0.16134159119068014,-0.1476098711123827,11.091234347048301,3,24,864
43,Freestyle Skiing,0.17451745934686838,0.18985586845412417,10.88580576307364,10,7,626
25,Shooting,-0.04327599472280589,-0.0012551445650221794,10.726764500349406,83,27,4882
4,Speed Skating,0.07661614356175755,,10.33315517548548,13,22,1582
6,Athletics,0.06506734330199618,,10.2759942004971,83,29,22071
50,Snowboarding,0.011004256300929983,0.06367862483139639,9.615384615384617,12,5,567
48,Ski Jumping,-0.04780389157434241,-0.21163067185320317,8.621407746772178,4,22,874
39,Table Tennis,-0.13947703150942234,-0.11458524641017251,8.593350383631714,6,8,749
5,Cross Country Skiing,0.023617033951059553,-0.053893401361875516,8.49666046206066,23,22,2400
12,Gymnastics,-0.11463101381225459,,8.447223574343806,27,29,4134
11,Biathlon,0.09767127878234834,0.05697247363275301,8.338442673206622,13,15,1135
47,Triathlon,0.09408928203879453,-0.008859770808719719,5.671077504725898,2,5,355
14,Alpine Skiing,-0.03611934423988847,0.05313803600413041,4.847661116774266,10,19,2735
13,Art Competitions,-0.5000000000000001,,4.3599776411403015,29,7,1814
